"";"F";"Total Yield";"Recruitment";"SSB";"Biomass"
"virgin";0;0;150855.658793854;190173.585443343;197997.943105417
"msy";0.216284436410544;9178.58588481761;150855.658793854;59432.8615449024;66352.2238935669
"crash";53.0844032225071;3642.33534695403;150855.658793854;4.71105268087492e-06;884.335220632669
"f0.1";0.153852929507033;8810.86088565828;150855.658793854;81122.0606845749;88274.653618663
"fmax";0.216285072025078;9178.58588478794;150855.658793854;59432.6781606388;66352.0382332966
"spr.30";0.224735757390677;9173.5559744786;150855.658793854;57051.7980922117;63941.066450798
"mey";NA;NA;NA;NA;NA
