year;month;DISCARD;fleet_segment
;seed;4177.188473;DTS_VL1218
2006;Jan;156.6497285;DTS_VL1218
2006;Feb;156.6497285;DTS_VL1218
2006;Mar;156.6497285;DTS_VL1218
2006;Apr;156.6497285;DTS_VL1218
2006;May;156.6497285;DTS_VL1218
2006;Jun;156.6497285;DTS_VL1218
2006;Jul;156.6497285;DTS_VL1218
2006;Aug;156.6497285;DTS_VL1218
2006;Set;156.6497285;DTS_VL1218
2006;Oct;156.6497285;DTS_VL1218
2006;Nov;156.6497285;DTS_VL1218
2006;Dec;156.6497285;DTS_VL1218
2007;Jan;457.2754614;DTS_VL1218
2007;Feb;457.2754614;DTS_VL1218
2007;Mar;457.2754614;DTS_VL1218
2007;Apr;457.2754614;DTS_VL1218
2007;May;457.2754614;DTS_VL1218
2007;Jun;457.2754614;DTS_VL1218
2007;Jul;457.2754614;DTS_VL1218
2007;Aug;457.2754614;DTS_VL1218
2007;Set;457.2754614;DTS_VL1218
2007;Oct;457.2754614;DTS_VL1218
2007;Nov;457.2754614;DTS_VL1218
2007;Dec;457.2754614;DTS_VL1218
2008;Jan;364.8370857;DTS_VL1218
2008;Feb;364.8370857;DTS_VL1218
2008;Mar;364.8370857;DTS_VL1218
2008;Apr;364.8370857;DTS_VL1218
2008;May;364.8370857;DTS_VL1218
2008;Jun;364.8370857;DTS_VL1218
2008;Jul;364.8370857;DTS_VL1218
2008;Aug;364.8370857;DTS_VL1218
2008;Set;364.8370857;DTS_VL1218
2008;Oct;364.8370857;DTS_VL1218
2008;Nov;364.8370857;DTS_VL1218
2008;Dec;364.8370857;DTS_VL1218
2009;Jan;534.7949417;DTS_VL1218
2009;Feb;534.7949417;DTS_VL1218
2009;Mar;534.7949417;DTS_VL1218
2009;Apr;534.7949417;DTS_VL1218
2009;May;534.7949417;DTS_VL1218
2009;Jun;534.7949417;DTS_VL1218
2009;Jul;534.7949417;DTS_VL1218
2009;Aug;534.7949417;DTS_VL1218
2009;Set;534.7949417;DTS_VL1218
2009;Oct;534.7949417;DTS_VL1218
2009;Nov;534.7949417;DTS_VL1218
2009;Dec;534.7949417;DTS_VL1218
2010;Jan;15.99267221;DTS_VL1218
2010;Feb;15.99267221;DTS_VL1218
2010;Mar;15.99267221;DTS_VL1218
2010;Apr;15.99267221;DTS_VL1218
2010;May;15.99267221;DTS_VL1218
2010;Jun;15.99267221;DTS_VL1218
2010;Jul;15.99267221;DTS_VL1218
2010;Aug;15.99267221;DTS_VL1218
2010;Set;15.99267221;DTS_VL1218
2010;Oct;15.99267221;DTS_VL1218
2010;Nov;15.99267221;DTS_VL1218
2010;Dec;15.99267221;DTS_VL1218
2011;Jan;1.805801742;DTS_VL1218
2011;Feb;1.805801742;DTS_VL1218
2011;Mar;1.805801742;DTS_VL1218
2011;Apr;1.805801742;DTS_VL1218
2011;May;1.805801742;DTS_VL1218
2011;Jun;1.805801742;DTS_VL1218
2011;Jul;1.805801742;DTS_VL1218
2011;Aug;1.805801742;DTS_VL1218
2011;Set;1.805801742;DTS_VL1218
2011;Oct;1.805801742;DTS_VL1218
2011;Nov;1.805801742;DTS_VL1218
2011;Dec;1.805801742;DTS_VL1218
2012;Jan;834.7088098;DTS_VL1218
2012;Feb;834.7088098;DTS_VL1218
2012;Mar;834.7088098;DTS_VL1218
2012;Apr;834.7088098;DTS_VL1218
2012;May;834.7088098;DTS_VL1218
2012;Jun;834.7088098;DTS_VL1218
2012;Jul;834.7088098;DTS_VL1218
2012;Aug;834.7088098;DTS_VL1218
2012;Set;834.7088098;DTS_VL1218
2012;Oct;834.7088098;DTS_VL1218
2012;Nov;834.7088098;DTS_VL1218
2012;Dec;834.7088098;DTS_VL1218
2013;Jan;34.39324705;DTS_VL1218
2013;Feb;34.39324705;DTS_VL1218
2013;Mar;34.39324705;DTS_VL1218
2013;Apr;34.39324705;DTS_VL1218
2013;May;34.39324705;DTS_VL1218
2013;Jun;34.39324705;DTS_VL1218
2013;Jul;34.39324705;DTS_VL1218
2013;Aug;34.39324705;DTS_VL1218
2013;Set;34.39324705;DTS_VL1218
2013;Oct;34.39324705;DTS_VL1218
2013;Nov;34.39324705;DTS_VL1218
2013;Dec;34.39324705;DTS_VL1218
2014;Jan;60.24880707;DTS_VL1218
2014;Feb;60.24880707;DTS_VL1218
2014;Mar;60.24880707;DTS_VL1218
2014;Apr;60.24880707;DTS_VL1218
2014;May;60.24880707;DTS_VL1218
2014;Jun;60.24880707;DTS_VL1218
2014;Jul;60.24880707;DTS_VL1218
2014;Aug;60.24880707;DTS_VL1218
2014;Set;60.24880707;DTS_VL1218
2014;Oct;60.24880707;DTS_VL1218
2014;Nov;60.24880707;DTS_VL1218
2014;Dec;60.24880707;DTS_VL1218
2015;Jan;309.7836213;DTS_VL1218
2015;Feb;309.7836213;DTS_VL1218
2015;Mar;309.7836213;DTS_VL1218
2015;Apr;309.7836213;DTS_VL1218
2015;May;309.7836213;DTS_VL1218
2015;Jun;309.7836213;DTS_VL1218
2015;Jul;309.7836213;DTS_VL1218
2015;Aug;309.7836213;DTS_VL1218
2015;Set;309.7836213;DTS_VL1218
2015;Oct;309.7836213;DTS_VL1218
2015;Nov;309.7836213;DTS_VL1218
2015;Dec;309.7836213;DTS_VL1218
2015;Jan;279.2308294;DTS_VL1218
2015;Feb;279.2308294;DTS_VL1218
2015;Mar;279.2308294;DTS_VL1218
2015;Apr;279.2308294;DTS_VL1218
2015;May;279.2308294;DTS_VL1218
2015;Jun;279.2308294;DTS_VL1218
2015;Jul;279.2308294;DTS_VL1218
2015;Aug;279.2308294;DTS_VL1218
2015;Set;279.2308294;DTS_VL1218
2015;Oct;279.2308294;DTS_VL1218
2015;Nov;279.2308294;DTS_VL1218
2015;Dec;279.2308294;DTS_VL1218
2016;Jan;53.86078154;DTS_VL1218
2016;Feb;53.86078154;DTS_VL1218
2016;Mar;53.86078154;DTS_VL1218
2016;Apr;53.86078154;DTS_VL1218
2016;May;53.86078154;DTS_VL1218
2016;Jun;53.86078154;DTS_VL1218
2016;Jul;53.86078154;DTS_VL1218
2016;Aug;53.86078154;DTS_VL1218
2016;Set;53.86078154;DTS_VL1218
2016;Oct;53.86078154;DTS_VL1218
2016;Nov;53.86078154;DTS_VL1218
2016;Dec;53.86078154;DTS_VL1218
2017;Jan;53.86078154;DTS_VL1218
2017;Feb;53.86078154;DTS_VL1218
2017;Mar;53.86078154;DTS_VL1218
2017;Apr;53.86078154;DTS_VL1218
