;F;Total Yield;Recruitment;SSB;Biomass
f0.1;0.134927219;1650.902719;23105.19531;13630.54454;14609.08602
fmax;0.19073715;1740.443295;23357.51388;10242.21889;11191.321
spr.30;0.207675273;1742.335028;23446.06807;9431.359089;10372.48629
msy;0.202823297;1742.666572;23420.09053;9654.989265;10598.35565
mey;NA;NA;NA;NA;NA
