Units: seadays;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014;2008;2009;2010;2011;2012;2013;2014
casestudy.month9;10;11;10;0;7;8;8;12;13;11;0;7;8;8;14;13;11;0;5;7;7;10;9;10;11;9;6;6;16;13;8;0;7;12;12;15;15;15;0;8;10;10;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month10;11;10;9;11;8;9;9;13;12;10;11;11;10;10;14;13;12;13;12;12;12;10;8;10;11;10;8;8;15;14;9;8;13;13;13;16;15;14;9;9;9;9;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month11;10;12;10;10;9;8;8;11;14;14;11;9;9;9;13;13;14;12;11;10;10;7;8;11;11;8;6;6;15;17;10;8;12;10;10;13;16;16;13;10;10;10;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
casestudy.month12;10;8;9;10;8;9;9;11;10;12;11;10;12;12;14;12;13;14;11;13;13;5;5;8;9;9;7;7;15;13;10;10;16;13;13;13;14;14;14;13;11;11;8;8;8;8;8;7;7;5;5;5;5;4;4;4;5;5;5;5;5;5;5;10;10;10;10;10;11;11;13;13;15;15;14;15;15
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
