"year";"month";"VESSELS";"DAYS";"GT";"fleet_segment"
"2014";"Dec";54;8;79;"HRV_PS_VL_1824"
"";"seed";67;9;155;"HRV_PS_VL_2440"
"2008";"Jan";67;9;155;"HRV_PS_VL_2440"
"2008";"Feb";67;9;155;"HRV_PS_VL_2440"
"2008";"Mar";67;9;155;"HRV_PS_VL_2440"
"2008";"Apr";67;9;155;"HRV_PS_VL_2440"
"2008";"May";67;9;155;"HRV_PS_VL_2440"
"2008";"Jun";67;9;155;"HRV_PS_VL_2440"
"2008";"Jul";67;9;155;"HRV_PS_VL_2440"
"2008";"Aug";67;9;155;"HRV_PS_VL_2440"
"2008";"Sep";67;9;155;"HRV_PS_VL_2440"
"2008";"Oct";67;9;155;"HRV_PS_VL_2440"
"2008";"Nov";67;9;155;"HRV_PS_VL_2440"
"2008";"Dec";67;9;155;"HRV_PS_VL_2440"
"2009";"Jan";67;9;155;"HRV_PS_VL_2440"
"2009";"Feb";67;9;155;"HRV_PS_VL_2440"
"2009";"Mar";67;9;155;"HRV_PS_VL_2440"
"2009";"Apr";67;9;155;"HRV_PS_VL_2440"
"2009";"May";67;9;155;"HRV_PS_VL_2440"
"2009";"Jun";67;9;155;"HRV_PS_VL_2440"
"2009";"Jul";67;9;155;"HRV_PS_VL_2440"
"2009";"Aug";67;9;155;"HRV_PS_VL_2440"
"2009";"Sep";67;9;155;"HRV_PS_VL_2440"
"2009";"Oct";67;9;155;"HRV_PS_VL_2440"
"2009";"Nov";67;9;155;"HRV_PS_VL_2440"
"2009";"Dec";67;9;155;"HRV_PS_VL_2440"
"2010";"Jan";72;11;151;"HRV_PS_VL_2440"
"2010";"Feb";72;11;151;"HRV_PS_VL_2440"
"2010";"Mar";72;11;151;"HRV_PS_VL_2440"
"2010";"Apr";72;11;151;"HRV_PS_VL_2440"
"2010";"May";72;11;151;"HRV_PS_VL_2440"
"2010";"Jun";72;11;151;"HRV_PS_VL_2440"
"2010";"Jul";72;11;151;"HRV_PS_VL_2440"
"2010";"Aug";72;11;151;"HRV_PS_VL_2440"
"2010";"Sep";72;11;151;"HRV_PS_VL_2440"
"2010";"Oct";72;11;151;"HRV_PS_VL_2440"
"2010";"Nov";72;11;151;"HRV_PS_VL_2440"
"2010";"Dec";72;11;151;"HRV_PS_VL_2440"
"2011";"Jan";69;9;133;"HRV_PS_VL_2440"
"2011";"Feb";69;9;133;"HRV_PS_VL_2440"
"2011";"Mar";69;9;133;"HRV_PS_VL_2440"
"2011";"Apr";69;9;133;"HRV_PS_VL_2440"
"2011";"May";69;9;133;"HRV_PS_VL_2440"
"2011";"Jun";69;9;133;"HRV_PS_VL_2440"
"2011";"Jul";69;9;133;"HRV_PS_VL_2440"
"2011";"Aug";69;9;133;"HRV_PS_VL_2440"
"2011";"Sep";69;9;133;"HRV_PS_VL_2440"
"2011";"Oct";69;9;133;"HRV_PS_VL_2440"
"2011";"Nov";69;9;133;"HRV_PS_VL_2440"
"2011";"Dec";69;9;133;"HRV_PS_VL_2440"
"2012";"Jan";68;9;136;"HRV_PS_VL_2440"
"2012";"Feb";68;9;136;"HRV_PS_VL_2440"
"2012";"Mar";68;9;136;"HRV_PS_VL_2440"
"2012";"Apr";68;9;136;"HRV_PS_VL_2440"
"2012";"May";68;9;136;"HRV_PS_VL_2440"
"2012";"Jun";68;9;136;"HRV_PS_VL_2440"
"2012";"Jul";68;9;136;"HRV_PS_VL_2440"
"2012";"Aug";68;9;136;"HRV_PS_VL_2440"
"2012";"Sep";68;9;136;"HRV_PS_VL_2440"
"2012";"Oct";68;9;136;"HRV_PS_VL_2440"
"2012";"Nov";68;9;136;"HRV_PS_VL_2440"
"2012";"Dec";68;9;136;"HRV_PS_VL_2440"
"2013";"Jan";67;9;149;"HRV_PS_VL_2440"
"2013";"Feb";67;9;149;"HRV_PS_VL_2440"
"2013";"Mar";67;9;149;"HRV_PS_VL_2440"
"2013";"Apr";67;9;149;"HRV_PS_VL_2440"
"2013";"May";67;9;149;"HRV_PS_VL_2440"
"2013";"Jun";67;9;149;"HRV_PS_VL_2440"
"2013";"Jul";67;9;149;"HRV_PS_VL_2440"
"2013";"Aug";67;9;149;"HRV_PS_VL_2440"
"2013";"Sep";67;9;149;"HRV_PS_VL_2440"
"2013";"Oct";67;9;149;"HRV_PS_VL_2440"
"2013";"Nov";67;9;149;"HRV_PS_VL_2440"
"2013";"Dec";67;9;149;"HRV_PS_VL_2440"
"2014";"Jan";67;9;149;"HRV_PS_VL_2440"
"2014";"Feb";67;9;149;"HRV_PS_VL_2440"
"2014";"Mar";67;9;149;"HRV_PS_VL_2440"
"2014";"Apr";67;9;149;"HRV_PS_VL_2440"
"2014";"May";67;9;149;"HRV_PS_VL_2440"
"2014";"Jun";67;9;149;"HRV_PS_VL_2440"
"2014";"Jul";67;9;149;"HRV_PS_VL_2440"
"2014";"Aug";67;9;149;"HRV_PS_VL_2440"
"2014";"Sep";67;9;149;"HRV_PS_VL_2440"
"2014";"Oct";67;9;149;"HRV_PS_VL_2440"
"2014";"Nov";67;9;149;"HRV_PS_VL_2440"
"2014";"Dec";67;9;149;"HRV_PS_VL_2440"
"";"seed";4;8;10;"SVN_PS_VL1218"
"2008";"Jan";4;8;10;"SVN_PS_VL1218"
"2008";"Feb";4;8;10;"SVN_PS_VL1218"
"2008";"Mar";4;8;10;"SVN_PS_VL1218"
"2008";"Apr";4;8;10;"SVN_PS_VL1218"
"2008";"May";4;8;10;"SVN_PS_VL1218"
"2008";"Jun";4;8;10;"SVN_PS_VL1218"
"2008";"Jul";4;8;10;"SVN_PS_VL1218"
"2008";"Aug";4;8;10;"SVN_PS_VL1218"
"2008";"Sep";4;8;10;"SVN_PS_VL1218"
"2008";"Oct";4;8;10;"SVN_PS_VL1218"
"2008";"Nov";4;8;10;"SVN_PS_VL1218"
"2008";"Dec";4;8;10;"SVN_PS_VL1218"
"2009";"Jan";5;9;10;"SVN_PS_VL1218"
"2009";"Feb";5;9;10;"SVN_PS_VL1218"
"2009";"Mar";5;9;10;"SVN_PS_VL1218"
"2009";"Apr";5;9;10;"SVN_PS_VL1218"
"2009";"May";5;9;10;"SVN_PS_VL1218"
"2009";"Jun";5;9;10;"SVN_PS_VL1218"
"2009";"Jul";5;9;10;"SVN_PS_VL1218"
"2009";"Aug";5;9;10;"SVN_PS_VL1218"
"2009";"Sep";5;9;10;"SVN_PS_VL1218"
"2009";"Oct";5;9;10;"SVN_PS_VL1218"
"2009";"Nov";5;9;10;"SVN_PS_VL1218"
"2009";"Dec";5;9;10;"SVN_PS_VL1218"
"2010";"Jan";4;10;12;"SVN_PS_VL1218"
"2010";"Feb";4;10;12;"SVN_PS_VL1218"
"2010";"Mar";4;10;12;"SVN_PS_VL1218"
"2010";"Apr";4;10;12;"SVN_PS_VL1218"
"2010";"May";4;10;12;"SVN_PS_VL1218"
"2010";"Jun";4;10;12;"SVN_PS_VL1218"
"2010";"Jul";4;10;12;"SVN_PS_VL1218"
"2010";"Aug";4;10;12;"SVN_PS_VL1218"
"2010";"Sep";4;10;12;"SVN_PS_VL1218"
"2010";"Oct";4;10;12;"SVN_PS_VL1218"
"2010";"Nov";4;10;12;"SVN_PS_VL1218"
"2010";"Dec";4;10;12;"SVN_PS_VL1218"
"2011";"Jan";4;9;12;"SVN_PS_VL1218"
"2011";"Feb";4;9;12;"SVN_PS_VL1218"
"2011";"Mar";4;9;12;"SVN_PS_VL1218"
"2011";"Apr";4;9;12;"SVN_PS_VL1218"
"2011";"May";4;9;12;"SVN_PS_VL1218"
"2011";"Jun";4;9;12;"SVN_PS_VL1218"
"2011";"Jul";4;9;12;"SVN_PS_VL1218"
"2011";"Aug";4;9;12;"SVN_PS_VL1218"
"2011";"Sep";4;9;12;"SVN_PS_VL1218"
"2011";"Oct";4;9;12;"SVN_PS_VL1218"
"2011";"Nov";4;9;12;"SVN_PS_VL1218"
"2011";"Dec";4;9;12;"SVN_PS_VL1218"
"2012";"Jan";4;6;12;"SVN_PS_VL1218"
"2012";"Feb";4;6;12;"SVN_PS_VL1218"
"2012";"Mar";4;6;12;"SVN_PS_VL1218"
"2012";"Apr";4;6;12;"SVN_PS_VL1218"
"2012";"May";4;6;12;"SVN_PS_VL1218"
"2012";"Jun";4;6;12;"SVN_PS_VL1218"
"2012";"Jul";4;6;12;"SVN_PS_VL1218"
"2012";"Aug";4;6;12;"SVN_PS_VL1218"
"2012";"Sep";4;6;12;"SVN_PS_VL1218"
"2012";"Oct";4;6;12;"SVN_PS_VL1218"
"2012";"Nov";4;6;12;"SVN_PS_VL1218"
"2012";"Dec";4;6;12;"SVN_PS_VL1218"
"2013";"Jan";4;7;10;"SVN_PS_VL1218"
"2013";"Feb";4;7;10;"SVN_PS_VL1218"
"2013";"Mar";4;7;10;"SVN_PS_VL1218"
"2013";"Apr";4;7;10;"SVN_PS_VL1218"
"2013";"May";4;7;10;"SVN_PS_VL1218"
"2013";"Jun";4;7;10;"SVN_PS_VL1218"
"2013";"Jul";4;7;10;"SVN_PS_VL1218"
"2013";"Aug";4;7;10;"SVN_PS_VL1218"
"2013";"Sep";4;7;10;"SVN_PS_VL1218"
"2013";"Oct";4;7;10;"SVN_PS_VL1218"
"2013";"Nov";4;7;10;"SVN_PS_VL1218"
"2013";"Dec";4;7;10;"SVN_PS_VL1218"
"2014";"Jan";4;7;10;"SVN_PS_VL1218"
"2014";"Feb";4;7;10;"SVN_PS_VL1218"
"2014";"Mar";4;7;10;"SVN_PS_VL1218"
"2014";"Apr";4;7;10;"SVN_PS_VL1218"
"2014";"May";4;7;10;"SVN_PS_VL1218"
"2014";"Jun";4;7;10;"SVN_PS_VL1218"
"2014";"Jul";4;7;10;"SVN_PS_VL1218"
"2014";"Aug";4;7;10;"SVN_PS_VL1218"
"2014";"Sep";4;7;10;"SVN_PS_VL1218"
"2014";"Oct";4;7;10;"SVN_PS_VL1218"
"2014";"Nov";4;7;10;"SVN_PS_VL1218"
"2014";"Dec";4;7;10;"SVN_PS_VL1218"
