"fleet_segment";"Month";"VESSELS";"DAYS";"GT"
"ITA17_TM_1824";"6";"24.9";"6.3";"67.3"
"ITA17_TM_1824";"7";"24.9";"14.7";"67.3"
"ITA17_TM_1824";"8";"24.9";"0.2";"67.3"
"ITA17_TM_1824";"9";"24.9";"8.2";"67.3"
"ITA17_TM_1824";"10";"24.9";"9.7";"67.3"
"ITA17_TM_1824";"11";"24.9";"8.8";"67.3"
"ITA17_TM_1824";"12";"24.9";"7.5";"67.3"
"ITA17_TM_1824";"13";"25.2";"12.9";"81"
"ITA17_TM_1824";"14";"25.2";"10.8";"81"
"ITA17_TM_1824";"15";"25.2";"14.3";"81"
"ITA17_TM_1824";"16";"25.2";"13.2";"81"
"ITA17_TM_1824";"17";"25.2";"16";"81"
"ITA17_TM_1824";"18";"25.2";"19";"81"
"ITA17_TM_1824";"19";"25.2";"19.5";"81"
"ITA17_TM_1824";"20";"25.2";"0.2";"81"
"ITA17_TM_1824";"21";"25.2";"12.3";"81"
"ITA17_TM_1824";"22";"25.2";"12.9";"81"
"ITA17_TM_1824";"23";"25.2";"15.6";"81"
"ITA17_TM_1824";"24";"25.2";"8.8";"81"
"ITA17_TM_1824";"25";"25.4";"17.8";"73"
"ITA17_TM_1824";"26";"25.4";"14.6";"73"
"ITA17_TM_1824";"27";"25.4";"15.2";"73"
"ITA17_TM_1824";"28";"25.4";"12.4";"73"
"ITA17_TM_1824";"29";"25.4";"18.3";"73"
"ITA17_TM_1824";"30";"25.4";"14.7";"73"
"ITA17_TM_1824";"31";"25.4";"14.3";"73"
"ITA17_TM_1824";"32";"25.4";"0";"73"
"ITA17_TM_1824";"33";"25.4";"16.9";"73"
"ITA17_TM_1824";"34";"25.4";"13.8";"73"
"ITA17_TM_1824";"35";"25.4";"16.3";"73"
"ITA17_TM_1824";"36";"25.4";"12.8";"73"
"ITA17_TM_1824";"37";"22.1";"15.4";"71.1"
"ITA17_TM_1824";"38";"22.1";"12.5";"71.1"
"ITA17_TM_1824";"39";"22.1";"13.6";"71.1"
"ITA17_TM_1824";"40";"22.1";"12.6";"71.1"
"ITA17_TM_1824";"41";"22.1";"13.1";"71.1"
"ITA17_TM_1824";"42";"22.1";"15.4";"71.1"
"ITA17_TM_1824";"43";"22.1";"17.8";"71.1"
"ITA17_TM_1824";"44";"22.1";"0";"71.1"
"ITA17_TM_1824";"45";"22.1";"0";"71.1"
"ITA17_TM_1824";"46";"22.1";"12.8";"71.1"
"ITA17_TM_1824";"47";"22.1";"13.7";"71.1"
"ITA17_TM_1824";"48";"22.1";"11.4";"71.1"
"ITA17_TM_1824";"49";"21";"15";"71.6"
"ITA17_TM_1824";"50";"21";"13.1";"71.6"
"ITA17_TM_1824";"51";"21";"19.7";"71.6"
"ITA17_TM_1824";"52";"21";"19.7";"71.6"
"ITA17_TM_1824";"53";"21";"21.2";"71.6"
"ITA17_TM_1824";"54";"21";"18.6";"71.6"
"ITA17_TM_1824";"55";"21";"8.4";"71.6"
"ITA17_TM_1824";"56";"21";"1.2";"71.6"
"ITA17_TM_1824";"57";"21";"10.6";"71.6"
"ITA17_TM_1824";"58";"21";"12.7";"71.6"
"ITA17_TM_1824";"59";"21";"14.8";"71.6"
"ITA17_TM_1824";"60";"21";"15.1";"71.6"
"ITA17_TM_1824";"61";"24.8";"17.6";"80.9"
"ITA17_TM_1824";"62";"24.8";"14.5";"80.9"
"ITA17_TM_1824";"63";"24.8";"14.1";"80.9"
"ITA17_TM_1824";"64";"24.8";"14.9";"80.9"
