fleet_segment;Month;VESSELS;DAYS;GT
ITA17_PS_2440;20;15.8;14.8;113.8
ITA17_PS_2440;21;15.8;16.3;113.8
ITA17_PS_2440;22;15.8;11;113.8
ITA17_PS_2440;23;15.8;4.9;113.8
ITA17_PS_2440;24;15.8;2.5;113.8
ITA17_PS_2440;25;9.6;8.6;119.6
ITA17_PS_2440;26;9.6;8.3;119.6
ITA17_PS_2440;27;9.6;9.6;119.6
ITA17_PS_2440;28;9.6;8.6;119.6
ITA17_PS_2440;29;9.6;3;119.6
ITA17_PS_2440;30;9.6;18.4;119.6
ITA17_PS_2440;31;9.6;22.9;119.6
ITA17_PS_2440;32;9.6;19.3;119.6
ITA17_PS_2440;33;9.6;17;119.6
ITA17_PS_2440;34;9.6;13.1;119.6
ITA17_PS_2440;35;9.6;14.7;119.6
ITA17_PS_2440;36;9.6;6.9;119.6
ITA17_PS_2440;37;15.2;6.6;113.8
ITA17_PS_2440;38;15.2;5.7;113.8
ITA17_PS_2440;39;15.2;5.3;113.8
ITA17_PS_2440;40;15.2;8.1;113.8
ITA17_PS_2440;41;15.2;11.5;113.8
ITA17_PS_2440;42;15.2;14.2;113.8
ITA17_PS_2440;43;15.2;7.5;113.8
ITA17_PS_2440;44;15.2;8;113.8
ITA17_PS_2440;45;15.2;6.8;113.8
ITA17_PS_2440;46;15.2;8.9;113.8
ITA17_PS_2440;47;15.2;7.1;113.8
ITA17_PS_2440;48;15.2;3.5;113.8
ITA17_PS_2440;49;14.9;6;101.8
ITA17_PS_2440;50;14.9;3;101.8
ITA17_PS_2440;51;14.9;0.9;101.8
ITA17_PS_2440;52;14.9;5.4;101.8
ITA17_PS_2440;53;14.9;16;101.8
ITA17_PS_2440;54;14.9;16.1;101.8
ITA17_PS_2440;55;14.9;14.6;101.8
ITA17_PS_2440;56;14.9;10;101.8
ITA17_PS_2440;57;14.9;12.3;101.8
ITA17_PS_2440;58;14.9;13.4;101.8
ITA17_PS_2440;59;14.9;5.4;101.8
ITA17_PS_2440;60;14.9;5.1;101.8
ITA17_PS_2440;61;13.9;4;101.4
ITA17_PS_2440;62;13.9;2.3;101.4
ITA17_PS_2440;63;13.9;2.9;101.4
ITA17_PS_2440;64;13.9;3.4;101.4
ITA17_PS_2440;65;13.9;2.3;101.4
ITA17_PS_2440;66;13.9;14.1;101.4
ITA17_PS_2440;67;13.9;14.9;101.4
ITA17_PS_2440;68;13.9;10.9;101.4
ITA17_PS_2440;69;13.9;10.9;101.4
ITA17_PS_2440;70;13.9;7.5;101.4
ITA17_PS_2440;71;13.9;2.6;101.4
ITA17_PS_2440;72;13.9;0.9;101.4
ITA17_PS_2440;73;13.9;5.429306672;105.9
ITA17_PS_2440;74;13.9;9.213697373;105.9
ITA17_PS_2440;75;13.9;9.04907028;105.9
ITA17_PS_2440;76;13.9;9.213697373;105.9
ITA17_PS_2440;77;13.9;10.86877551;105.9
ITA17_PS_2440;78;13.9;14.02378938;105.9
ITA17_PS_2440;79;13.9;9.872205744;105.9
ITA17_PS_2440;80;13.9;4.442221594;105.9
ITA17_PS_2440;81;13.9;7.568781401;105.9
ITA17_PS_2440;82;13.9;10.85929082;105.9
ITA17_PS_2440;83;13.9;7.568781401;105.9
ITA17_PS_2440;84;13.9;5.265357057;105.9
ITA17_PS_2440;85;13.9;5.429306672;105.9
ITA17_PS_2440;86;13.9;9.213697373;105.9
ITA17_PS_2440;87;13.9;9.04907028;105.9
ITA17_PS_2440;88;13.9;9.213697373;105.9
ITA17_PS_2440;89;13.9;10.86877551;105.9
ITA17_PS_2440;90;13.9;14.02378938;105.9
ITA17_PS_2440;91;13.9;9.872205744;105.9
ITA17_PS_2440;92;13.9;4.442221594;105.9
ITA17_PS_2440;93;13.9;7.568781401;105.9
ITA17_PS_2440;94;13.9;10.85929082;105.9
ITA17_PS_2440;95;13.9;7.568781401;105.9
ITA17_PS_2440;96;13.9;5.265357057;105.9
ITA17_PS_2440;97;13.9;4.343445338;105.9
ITA17_PS_2440;98;13.9;7.370957898;105.9
ITA17_PS_2440;99;13.9;7.239256224;105.9
ITA17_PS_2440;100;13.9;7.370957898;105.9
ITA17_PS_2440;101;13.9;8.695020408;105.9
ITA17_PS_2440;102;13.9;11.2190315;105.9
ITA17_PS_2440;103;13.9;7.897764595;105.9
ITA17_PS_2440;104;13.9;3.553777275;105.9
ITA17_PS_2440;105;13.9;6.055025121;105.9
ITA17_PS_2440;106;13.9;8.687432656;105.9
ITA17_PS_2440;107;13.9;6.055025121;105.9
ITA17_PS_2440;108;13.9;4.212285646;105.9
ITA17_PS_2440;109;13.9;3.80051467;105.9
ITA17_PS_2440;110;13.9;6.449588161;105.9
ITA17_PS_2440;111;13.9;6.334349196;105.9
ITA17_PS_2440;112;13.9;6.449588161;105.9
ITA17_PS_2440;113;13.9;7.608142857;105.9
ITA17_PS_2440;114;13.9;9.816652566;105.9
ITA17_PS_2440;115;13.9;6.910544021;105.9
ITA17_PS_2440;116;13.9;3.109555116;105.9
ITA17_PS_2440;117;13.9;5.298146981;105.9
ITA17_PS_2440;118;13.9;7.601503574;105.9
ITA17_PS_2440;119;13.9;5.298146981;105.9
ITA17_PS_2440;120;13.9;3.68574994;105.9
ITA17_PS_2440;121;13.9;3.529049337;105.9
ITA17_PS_2440;122;13.9;5.988903292;105.9
ITA17_PS_2440;123;13.9;5.881895682;105.9
ITA17_PS_2440;124;13.9;5.988903292;105.9
ITA17_PS_2440;125;13.9;7.064704082;105.9
ITA17_PS_2440;126;13.9;9.115463097;105.9
ITA17_PS_2440;127;13.9;6.416933734;105.9
ITA17_PS_2440;128;13.9;2.887444036;105.9
ITA17_PS_2440;129;13.9;4.919707911;105.9
ITA17_PS_2440;130;13.9;7.058539033;105.9
ITA17_PS_2440;131;13.9;4.919707911;105.9
ITA17_PS_2440;132;13.9;3.422482087;105.9
ITA17_PS_2440;133;13.9;3.257584003;105.9
ITA17_PS_2440;134;13.9;5.528218424;105.9
ITA17_PS_2440;135;13.9;5.429442168;105.9
ITA17_PS_2440;136;13.9;5.528218424;105.9
ITA17_PS_2440;137;13.9;6.521265306;105.9
ITA17_PS_2440;138;13.9;8.414273628;105.9
ITA17_PS_2440;139;13.9;5.923323446;105.9
ITA17_PS_2440;140;13.9;2.665332956;105.9
ITA17_PS_2440;141;13.9;4.541268841;105.9
ITA17_PS_2440;142;13.9;6.515574492;105.9
ITA17_PS_2440;143;13.9;4.541268841;105.9
ITA17_PS_2440;144;13.9;3.159214234;105.9
ITA17_PS_2440;145;13.9;2.98611867;105.9
ITA17_PS_2440;146;13.9;5.067533555;105.9
ITA17_PS_2440;147;13.9;4.976988654;105.9
ITA17_PS_2440;148;13.9;5.067533555;105.9
ITA17_PS_2440;149;13.9;5.977826531;105.9
ITA17_PS_2440;150;13.9;7.713084159;105.9
ITA17_PS_2440;151;13.9;5.429713159;105.9
ITA17_PS_2440;152;13.9;2.443221877;105.9
ITA17_PS_2440;153;13.9;4.162829771;105.9
ITA17_PS_2440;154;13.9;5.972609951;105.9
ITA17_PS_2440;155;13.9;4.162829771;105.9
ITA17_PS_2440;156;13.9;2.895946381;105.9
ITA17_PS_2440;157;13.9;2.98611867;105.9
ITA17_PS_2440;158;13.9;5.067533555;105.9
ITA17_PS_2440;159;13.9;4.976988654;105.9
ITA17_PS_2440;160;13.9;5.067533555;105.9
ITA17_PS_2440;161;13.9;5.977826531;105.9
ITA17_PS_2440;162;13.9;7.713084159;105.9
ITA17_PS_2440;163;13.9;5.429713159;105.9
ITA17_PS_2440;164;13.9;2.443221877;105.9
ITA17_PS_2440;165;13.9;4.162829771;105.9
ITA17_PS_2440;166;13.9;5.972609951;105.9
ITA17_PS_2440;167;13.9;4.162829771;105.9
ITA17_PS_2440;168;13.9;2.895946381;105.9
HRV17_PS_1218;0;43.5;5;21
HRV17_PS_1218;1;43.5;5;21
HRV17_PS_1218;2;43.5;9;21
HRV17_PS_1218;3;43.5;9;21
HRV17_PS_1218;4;43.5;9;21
HRV17_PS_1218;5;43.5;9;21
HRV17_PS_1218;6;43.5;9;21
HRV17_PS_1218;7;43.5;9;21
HRV17_PS_1218;8;43.5;9;21
HRV17_PS_1218;9;43.5;9;21
HRV17_PS_1218;10;43.5;9;21
HRV17_PS_1218;11;43.5;9;21
HRV17_PS_1218;12;43.5;5;21
HRV17_PS_1218;13;43.5;5;21
HRV17_PS_1218;14;43.5;9;21
HRV17_PS_1218;15;43.5;9;21
HRV17_PS_1218;16;43.5;9;21
HRV17_PS_1218;17;43.5;9;21
HRV17_PS_1218;18;43.5;9;21
HRV17_PS_1218;19;43.5;9;21
HRV17_PS_1218;20;43.5;9;21
HRV17_PS_1218;21;43.5;9;21
HRV17_PS_1218;22;43.5;9;21
HRV17_PS_1218;23;43.5;9;21
HRV17_PS_1218;24;43.5;5;21
HRV17_PS_1218;25;43.5;5;21
HRV17_PS_1218;26;43.5;9;21
HRV17_PS_1218;27;43.5;9;21
HRV17_PS_1218;28;43.5;9;21
HRV17_PS_1218;29;43.5;9;21
HRV17_PS_1218;30;43.5;9;21
HRV17_PS_1218;31;43.5;9;21
HRV17_PS_1218;32;43.5;9;21
HRV17_PS_1218;33;43.5;9;21
HRV17_PS_1218;34;43.5;9;21
HRV17_PS_1218;35;43.5;9;21
HRV17_PS_1218;36;43.5;5;21
HRV17_PS_1218;37;43.5;5;21
HRV17_PS_1218;38;43.5;9;21
HRV17_PS_1218;39;43.5;9;21
HRV17_PS_1218;40;43.5;9;21
HRV17_PS_1218;41;43.5;9;21
HRV17_PS_1218;42;43.5;9;21
HRV17_PS_1218;43;43.5;9;21
HRV17_PS_1218;44;43.5;9;21
HRV17_PS_1218;45;43.5;9;21
HRV17_PS_1218;46;43.5;9;21
HRV17_PS_1218;47;43.5;9;21
HRV17_PS_1218;48;43.5;5;21
HRV17_PS_1218;49;42;5;21
HRV17_PS_1218;50;42;11;21
HRV17_PS_1218;51;42;11;21
HRV17_PS_1218;52;42;11;21
HRV17_PS_1218;53;42;11;21
HRV17_PS_1218;54;42;11;21
HRV17_PS_1218;55;42;11;21
HRV17_PS_1218;56;42;11;21
HRV17_PS_1218;57;42;11;21
HRV17_PS_1218;58;42;11;21
HRV17_PS_1218;59;42;11;21
HRV17_PS_1218;60;42;5;21
HRV17_PS_1218;61;45;4;22
HRV17_PS_1218;62;45;8;22
HRV17_PS_1218;63;45;8;22
HRV17_PS_1218;64;45;8;22
HRV17_PS_1218;65;45;8;22
HRV17_PS_1218;66;45;8;22
HRV17_PS_1218;67;45;8;22
HRV17_PS_1218;68;45;8;22
HRV17_PS_1218;69;45;8;22
HRV17_PS_1218;70;45;8;22
HRV17_PS_1218;71;45;8;22
HRV17_PS_1218;72;45;4;22
HRV17_PS_1218;73;41;3;22
HRV17_PS_1218;74;41;7;22
HRV17_PS_1218;75;41;7;22
HRV17_PS_1218;76;41;7;22
HRV17_PS_1218;77;41;7;22
HRV17_PS_1218;78;41;7;22
HRV17_PS_1218;79;41;7;22
HRV17_PS_1218;80;41;7;22
HRV17_PS_1218;81;41;7;22
HRV17_PS_1218;82;41;7;22
HRV17_PS_1218;83;41;7;22
HRV17_PS_1218;84;41;3;22
HRV17_PS_1218;85;41;0;22
HRV17_PS_1218;86;41;7;22
HRV17_PS_1218;87;41;7;22
HRV17_PS_1218;88;41;7;22
HRV17_PS_1218;89;41;0;22
HRV17_PS_1218;90;41;7;22
HRV17_PS_1218;91;41;7;22
HRV17_PS_1218;92;41;7;22
HRV17_PS_1218;93;41;7;22
HRV17_PS_1218;94;41;7;22
HRV17_PS_1218;95;41;7;22
HRV17_PS_1218;96;41;2;22
HRV17_PS_1218;97;41;0;22
HRV17_PS_1218;98;41;6.42;22
HRV17_PS_1218;99;41;6.42;22
HRV17_PS_1218;100;41;6.42;22
HRV17_PS_1218;101;41;0;22
HRV17_PS_1218;102;41;6.42;22
HRV17_PS_1218;103;41;6.42;22
