"";"F";"Total Yield";"Recruitment";"SSB";"Biomass"
"virgin";0;0;278874.744076342;16362.1267246599;17574.4481834187
"msy";3.17998507254114e+120;3253.53868089066;278874.744076342;0;0
"crash";72.7232852625906;3197.70291864953;278874.744076342;3.73367098944061e-06;2.33354436840038e-05
"f0.1";0.423950672321425;2169.50267434318;278874.744076342;5098.96470831998;6114.31794409889
"fmax";5662733163957448;3253.53868089066;278874.744076342;0;0
"spr.30";0.440259775658381;2190.09808963395;278874.744076342;4908.60113644406;5917.51761431325
"mey";NA;NA;NA;NA;NA
