"";"F";"Total Yield";"Recruitment";"SSB";"Biomass"
"virgin";0;0;44929.1706110696;24054.453374134;24365.6997905046
"msy";0.215963589256408;960.639635017591;44929.1706110696;4737.66199046243;5027.85912185167
"crash";98.9411010591744;445.079813250551;44929.1706110696;4.36231564000767e-06;7.52123386208218e-05
"f0.1";0.127909609384584;898.032466675618;44929.1706110696;8212.36144078967;8510.82981090077
"fmax";0.215965552065118;960.639634997803;44929.1706110696;4737.60923953471;5027.80619107906
"spr.30";0.147082616365446;926.339462224193;44929.1706110696;7216.36239515584;7512.99458624237
"mey";NA;NA;NA;NA;NA
