"";"F";"Total Yield";"Recruitment";"SSB";"Biomass"
"virgin";0;0;637419.55359468;5091.86787957779;6412.28189601311
"msy";3.17998507254114e+120;3080.86117570762;637419.55359468;401.296937829882;1721.28563779523
"crash";NA;NA;637419.55359468;NA;NA
"f0.1";0.735893518502604;1207.10284719245;637419.55359468;2295.5994503894;3615.94940284259
"fmax";30348710550584448;3080.86117570762;637419.55359468;401.296937829882;1721.28563779523
"spr.30";2.05444805310569;1515.26534712584;637419.55359468;1527.55239656171;2847.81079301871
"mey";NA;NA;NA;NA;NA
