"Mean weight at age in catch (landings)(kg); MUL in the GSA 18"			
1   3               			
2007   2014               			
0	3		
1			
0.013	0.037	0.082	0.153
0.013	0.036	0.081	0.167
0.014	0.034	0.086	0.139
0.013	0.032	0.088	0.148
0.013	0.037	0.089	0.142
0.009	0.034	0.081	0.147
0.013	0.033	0.083	0.152
0.013	0.035	0.084	0.150

                 			
