Year/Age;2007;2007;2007;2007;2007;2007;2008;2008;2008;2008;2008;2008;2009;2009;2009;2009;2009;2009;2010;2010;2010;2010;2010;2010;2011;2011;2011;2011;2011;2011;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2011;2011;2012;2012;2012;2012;2012;2012;2012;2012;2012;2012;2013;2013;2013;2013;2013;2013;2013;2013;2013;2013;2014;2014;2014;2014;2014;2014;2014;2014;2014;2014
0;1112554.637;76143281.07;70573184.88;59276831.51;1052019.883;6429521.957;2900326.602;75666363.87;71217777.13;63169640.13;1121107.788;6851759.413;2456275.363;84110176.27;68778934.46;54352535.05;991375.8193;6064468.827;1334636.053;83081384.3;74204568.94;79175305.91;878099.5111;5373132.722;726119.7795;55236890.71;53597320.15;39011981.63;805244.2915;4921509.04;0.001542845;31978877.22;33217967.07;46817786.57;811281.8305;4972270.282;0.0015472;54736158.4;45808771.13;45308907.01;532339.4884;3254087.422;0.001840792;65985435.42;56478276.17;53101929.28;623900.5912;3813782.577;489559.1413;2972.401296;2849975.545;324970.6655;15157676.98;7892235.496;1590186.012;3338975.867;9514.47675;80589.34901;589270.9688;4773.964412;3098693.795;496974.8393;15017226.14;9096142.931;632192.1557;94191.34671;19790.84874;55924.3199;408963.1545;20111.86933;2090915.912;279446.0438;9591976.498;5622701.79;454808.8533;65002.85373;14026.74638;37816.248;276542.515;14294.11346
1;254976.2248;15301212.48;13699886.5;13062492.55;231827.5376;1416836.57;545641.0985;14289483.47;14355585.45;13206234.74;234378.6126;1432427.713;520568.365;15895575.35;13852074.97;10607711.62;193481.8458;1183571.961;246838.5828;14904168.9;14816369.97;16674346.72;184928.0597;1131583.604;261521.229;17502569.97;15986844.55;14607776.67;169633.4461;1036769.273;0.000524495;10955576.86;9869390.17;15785501.71;146645.551;898776.834;0.000415982;13760216.45;10967168.95;13431976.9;157813.8203;964685.0907;0.000512435;16861951.24;13318854.87;16626867.79;195350.9559;1194142.276;109926.9651;1384.330923;979527.5303;125876.6473;5123794.179;2808030.079;699766.0397;890574.0926;3356.452416;16414.31725;120021.8236;1782.383232;1540305.676;195815.9962;7113294.242;4095898.408;483735.6809;143777.5714;11405.44431;27858.9796;203727.0404;12264.80117;1192477.333;200207.5509;5865204.537;3515929.346;391356.2929;111021.8624;9231.428237;21567.11244;157715.8981;10144.38145
2;33292.53444;2007374.219;1800840.758;1708334.598;30318.79267;185296.2537;72070.91987;1887145.288;1893829.311;1741342.024;30904.59436;188876.4377;64946.52468;2007487.66;1745554.07;1330308.855;24264.48058;148431.2843;29729.64142;1799025.501;1779772.252;1991565.687;22087.60466;135155.1047;30411.06674;1992939.069;1871048.367;1622421.598;18583.92666;113581.6348;5.53762E-05;1137331.866;1026198.858;1655213.362;15182.48791;93052.04507;3.57494E-05;1202070.038;981441.1704;1133189.302;13313.96966;81385.69867;3.39267E-05;1125405.817;899316.3442;1089857.765;12804.86251;78273.62604;11185.43048;256.4073652;103174.1646;13304.41495;548382.1636;300310.4304;129770.1851;106444.0326;407.6851018;1729.135201;12643.47197;299.6900971;46786.67999;18733.34079;639591.4559;369586.4915;75483.3975;16358.02099;1161.654958;1346.496772;9846.656486;1758.547193;236030.847;29783.6061;1089025.713;627340.4426;134758.0757;30142.08883;2045.980407;4268.847445;31217.21141;3060.016878
3;4803.324141;290164.5347;260561.7873;246582.6707;4376.243904;26745.84075;10422.31682;272787.7509;273622.8368;251381.3384;4461.408607;27266.33313;9436.183202;291813.9511;253730.0927;193376.252;3527.131533;21576.25677;4153.336463;251835.5692;248823.2783;275095.7234;3050.969206;18669.02585;3997.539282;263616.3884;247992.3887;214074.9069;2451.530384;14983.31509;6.6251E-06;139961.8559;127299.6205;200617.3456;1839.729783;11275.53136;4.05289E-06;135704.1329;110077.6602;128206.3147;1506.310535;9207.782387;3.17645E-06;107099.6161;87659.81468;100070.5935;1175.740755;7187.073824;537.1208801;61.881762;4119.961511;527.9434664;20571.57489;11797.12023;21114.48814;11026.59217;37.90195688;69.317438;506.8505249;49.06092098;3.92E-07;596.7072941;28210.4044;16122.38046;12173.29348;826.8921596;111.5855545;5.11E-09;3.73E-08;285.507396;8591.992287;906.6575921;36545.74181;21596.53133;18876.83995;1147.261192;164.1288625;155.3945376;1136.368585;428.8519041
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
