FS;country code;country name;year;quarter;vessel length;fishing technique;gear type;target assemblage;mesh size range;metier;supra-region;sub-region;EEZ indicator;geo indicator;Nephrops sub-region;specon tech;deep;species;total live weight landed (tonnes);total value of landings (euro);total discards (tonnes);confidential
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;FNT;0.041;203.97;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;GCJ;0.058;287.57;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;GUX;0.01;32.68;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;HKE;0.002;7.2;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;IOD;0.023;65.04;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;IOD;0.018;71.1;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;IOD;0.022;63.65;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KFA;0.002;2.66;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KLK;0.04;195.76;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KLK;0.001;4.2;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KLK;0.012;58.42;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KLK;0.004;19.35;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KTT;0.346;873.58;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;KTT;0.007;14.52;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;LEE;0.001;4.61;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MTS;0.017;134.52;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MTS;0.01;54.54;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MTS;0.001;8.24;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MUL;0.003;8.7;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MUL;0.014;31.05;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MUL;0.013;4.86;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;MYL;0.006;4;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;NEP;0.001;11.06;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;NSQ;0.08;156.85;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;OCC;0.034;166.34;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;OCC;0.289;1773.14;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;OCC;0.052;286.96;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;OCC;0.092;590.79;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;OCM;0.012;50.58;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;RAJ;0.001;8.19;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;RAJ;0.021;68.66;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SBG;0.112;1137.3;NK;N
;ESP;Spain;2015;4;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SBG;0.008;37.39;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SBG;0.012;210.86;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SBG;0.005;35.79;NK;N
;ESP;Spain;2015;2;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SLM;0.024;8.22;NK;N
;ESP;Spain;2015;3;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SLM;0.018;24.44;NK;N
;ESP;Spain;2015;1;NK;DRB;DRB;MOL;NA;DRB_MOL_0_0_0;MBS;GSA6;NA;NGI;NK;NA;NA;SOO;0.031;377.18;NK;N
