FS;Year;Month;GT;Unit;Source;;;;;;
Calabria ionica_DTS;2013;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2013;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2013;9;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2017;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2017;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2017;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;5;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;6;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;7;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_DTS;2018;8;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2005;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2005;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2005;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;1;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;10;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;11;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;12;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;3;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2013;4;NA;TotalGT;file MBL2 SOL_fishing capacity.xlsx;;;;;;
