FS;Year;Month;Land;Unit;Source
Abruzzo_DTS;2010;2;0.79632;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;3;0.66651;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;4;0.925;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;5;1.13027;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;6;1.93375;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;7;3.46082;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;8;2.99296;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;9;0.52017;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;10;2.27021;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;11;2.44515;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2010;12;2.44656;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;1;1.13595;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;2;0.95794;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;3;1.10779;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;4;1.66484;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;5;2.12393;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;6;1.27457;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;7;1.86997;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;10;3.00534;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;11;2.34727;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2011;12;4.10972;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;1;1.87746;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;2;3.27912;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;3;8.95629;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;4;8.82637;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;5;7.89907;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;6;4.53886;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;7;2.79071;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;8;0.16607;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;9;0.53952;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;10;0.8353;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;11;1.48332;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2012;12;1.15623;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;1;0.48753;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;2;0.32687;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;3;0.34992;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;4;0.17995;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;5;0.3319;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;6;0.77165;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;7;0.44849;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;8;0.01163;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;9;0.21822;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;10;0.66093;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;11;0.4468;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2013;12;1.21803;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;1;7.39227;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;2;2.91947;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;3;9.77959;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;4;9.56849;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;5;13.60743;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;6;13.72954;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;7;10.7265;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;8;1.83643;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;9;4.61697;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;10;9.45845;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;11;8.59584;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2014;12;6.75965;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;1;5.58262;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;2;3.62704;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;3;1.64214;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;4;2.22224;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;5;2.49144;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;6;3.11477;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;7;2.71534;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;8;7.7099;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;9;0.27245;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;10;2.91516;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;11;6.12902;tons;File MBL2 SOL.xlsx
Abruzzo_DTS;2015;12;7.12203;tons;File MBL2 SOL.xlsx
