FS;Year;Month;KW;Unit;Source;;;;;;
Calabria ionica_PGP;2013;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;3;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2014;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;2;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;3;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;5;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2015;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;2;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;3;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;4;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;5;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2016;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;2;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;3;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;4;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;5;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2017;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;1;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;12;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;2;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;3;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;4;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;5;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;7;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;8;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
Calabria ionica_PGP;2018;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2017;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;10;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;11;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;6;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DRB;2018;9;NA;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2005;0;26871.03;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2006;0;29463.24;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2007;0;30116.37;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2008;0;29428.77;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2009;0;29593.1;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2010;0;28817.3;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2011;0;32614.13;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2012;0;32026.95;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2013;0;33050.91;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2014;0;26241.34;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2015;0;25406.9;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2016;0;25429.08;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2017;0;25969.12;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_DTS;2018;0;25611.87;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2005;0;24671.5;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2006;0;23482.62;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2007;0;22459.6;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2008;0;17239.15;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2009;0;18087.39;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2010;0;18429.2;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
EmiliaRomagna_PGP;2011;0;22847.96;TotalKW;file MBL2 SOL_fishing capacity.xlsx;;;;;;
