age_month;M
2;3.2
3;2.5
4;2
5;1.41
6;1.41
7;1.11
8;1.11
9;1.11
10;1.11
11;1.11
12;1.11
13;0.81
14;0.81
15;0.81
16;0.81
17;0.81
18;0.81
19;0.75
20;0.75
21;0.75
22;0.75
23;0.75
24;0.75
25;0.7
26;0.7
27;0.7
28;0.7
29;0.7
30;0.7
31;0.7
32;0.7
33;0.7
34;0.7
35;0.7
36;0.7
37;0.6
38;0.6
39;0.6
40;0.6
41;0.6
42;0.6
43;0.6
44;0.6
45;0.6
46;0.6
47;0.6
48;0.6
